feature,importance,perm_mean
amount,0.18072402282503608,0.024875000000000022
age,0.12559258094779105,0.02262500000000002
balance_before,0.2125019344038948,0.02162500000000002
account_tenure_months,0.12217859729696759,0.017500000000000016
merchant_category_utilities,0.03034523814571034,0.013500000000000012
device_type_mobile,0.028696201990576226,0.013250000000000012
channel_POS,0.02436460661367075,0.012375000000000011
channel_online,0.01983914279213538,0.01087500000000001
tx_type_transfer,0.03133087560624806,0.008875000000000008
location_Kano,0.02121150660287026,0.006000000000000005
merchant_category_grocery,0.01724812721684399,0.005875000000000005
tx_type_withdrawal,0.01688035413600496,0.0050000000000000044
location_Other NG,0.01602125946028567,0.004875000000000004
location_US,0.026367362345721804,0.004375000000000004
merchant_category_travel,0.018286840524032674,0.004250000000000004
location_Lagos,0.016861541090232086,0.0037500000000000033
merchant_category_entertainment,0.011844058584036794,0.003500000000000003
merchant_category_electronics,0.013280316442644848,0.003375000000000003
location_GB,0.011732221951449004,0.0020000000000000018
device_type_tablet,0.01318258385699118,0.0020000000000000018
location_IN,0.017335062459299524,0.0017500000000000016
location_Port Harcourt,0.008432067869250015,0.0010000000000000009
location_DE,0.00746907194939217,0.0010000000000000009
location_CN,0.008274424888914816,0.0008750000000000008
